InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
541518,10002,CHECKING ACCOUNT,12,1/19/11 9:05,0.85,12451,Switzerland
541491,10002,CHECKING ACCOUNT,24,1/18/11 14:04,0.85,12510,Spain
536370,10002,CHECKING ACCOUNT,48,12/1/10 8:45,0.85,12583,France
541631,10002,CHECKING ACCOUNT,12,1/20/11 10:48,0.85,12637,France
541277,10002,CHECKING ACCOUNT,1,1/17/11 11:46,0.85,12673,Germany
542735,10002,CHECKING ACCOUNT,12,1/31/11 15:36,0.85,12681,France
540239,10002,CHECKING ACCOUNT,12,1/5/11 14:48,0.85,12682,France
548606,10002,CHECKING ACCOUNT,120,4/1/11 11:10,0.85,12731,France
541248,10002,CHECKING ACCOUNT,1,1/16/11 13:04,0.85,12748,United Kingdom
543179,10002,CHECKING ACCOUNT,1,2/4/11 10:31,0.85,12754,Japan
547223,10002,CHECKING ACCOUNT,5,3/21/11 15:10,0.85,12867,United Kingdom
538086,10002,CHECKING ACCOUNT,10,12/9/10 14:44,0.85,12872,United Kingdom
537047,10002,CHECKING ACCOUNT,1,12/5/10 11:02,0.85,13069,United Kingdom
542610,10002,CHECKING ACCOUNT,14,1/30/11 14:05,0.85,13148,United Kingdom
541849,10002,CHECKING ACCOUNT,2,1/23/11 13:34,0.85,13230,United Kingdom
541094,10002,CHECKING ACCOUNT,11,1/13/11 13:36,0.85,13246,United Kingdom
544935,10002,CHECKING ACCOUNT,24,2/25/11 9:09,0.85,13870,United Kingdom
540277,10002,CHECKING ACCOUNT,60,1/6/11 12:18,0.85,14258,United Kingdom
550452,10002,CHECKING ACCOUNT,1,4/18/11 12:56,0.85,14525,United Kingdom
546790,10002,CHECKING ACCOUNT,6,3/17/11 10:26,0.85,14713,United Kingdom
547063,10002,CHECKING ACCOUNT,4,3/20/11 13:33,0.85,14769,United Kingdom
538255,10002,CHECKING ACCOUNT,12,12/10/10 12:33,0.85,14911,EIRE
544278,10002,CHECKING ACCOUNT,12,2/17/11 12:01,0.85,15382,United Kingdom
545637,10002,CHECKING ACCOUNT,2,3/4/11 12:16,0.85,15514,United Kingdom
547729,10002,CHECKING ACCOUNT,6,3/25/11 10:52,0.85,15529,United Kingdom
536382,10002,CHECKING ACCOUNT,12,12/1/10 9:45,0.85,16098,United Kingdom
540732,10002,CHECKING ACCOUNT,12,1/11/11 10:19,0.85,16122,United Kingdom
541615,10002,CHECKING ACCOUNT,6,1/20/11 10:43,0.85,16395,United Kingdom
538593,10002,CHECKING ACCOUNT,24,12/13/10 11:51,0.85,16701,United Kingdom
538069,10002,CHECKING ACCOUNT,8,12/9/10 14:08,0.85,16795,United Kingdom
538853,10002,CHECKING ACCOUNT,4,12/14/10 13:35,0.85,16805,United Kingdom
548702,10002,CHECKING ACCOUNT,4,4/3/11 11:36,0.85,17085,United Kingdom
542096,10002,CHECKING ACCOUNT,2,1/25/11 12:52,0.85,17236,United Kingdom
548714,10002,CHECKING ACCOUNT,2,4/3/11 15:07,0.85,17337,United Kingdom
540798,10002,CHECKING ACCOUNT,12,1/11/11 12:11,0.85,17365,United Kingdom
537227,10002,CHECKING ACCOUNT,24,12/6/10 8:42,0.85,17677,United Kingdom
536863,10002,CHECKING ACCOUNT,1,12/3/10 11:19,0.85,17967,United Kingdom
544634,10002,CHECKING ACCOUNT,12,2/22/11 11:02,0.85,17994,United Kingdom
541262,10002,CHECKING ACCOUNT,6,1/16/11 15:50,0.85,18069,United Kingdom
550272,10002,CHECKING ACCOUNT,62,4/15/11 12:14,0.85,18079,United Kingdom
575908,10080,SAVING ACCOUNT,24,11/11/11 15:54,0.39,13091,United Kingdom
562127,10080,SAVING ACCOUNT,12,8/3/11 8:21,0.39,13717,United Kingdom
558911,10080,SAVING ACCOUNT,12,7/5/11 9:23,0.39,14189,United Kingdom
568381,10080,SAVING ACCOUNT,12,9/27/11 9:24,0.39,14321,United Kingdom
570458,10080,SAVING ACCOUNT,1,10/10/11 15:39,0.39,14535,United Kingdom
576095,10080,SAVING ACCOUNT,12,11/14/11 9:13,0.39,14904,United Kingdom
564065,10080,SAVING ACCOUNT,12,8/22/11 15:05,0.39,15150,United Kingdom
561322,10080,SAVING ACCOUNT,12,7/26/11 13:03,0.39,15203,United Kingdom
565920,10080,SAVING ACCOUNT,24,9/8/11 8:56,0.39,15298,United Kingdom
